listing_id,listing_title,price,vehicle_model_year,vehicle_condition,vehicle_tax_type,vehicle_brand,vehicle_model,vehicle_mileage_km,vehicle_fuel_type,vehicle_transmission,vehicle_engine_cc,vehicle_color,province,district,seller_type,view_count,posted_at,scraped_at,is_premium,listing_url
13877947,C300 2015,18800.0,2015,បានប្រើ,ផ្លាកលេខ,Mercedes-Benz,C300,,,ស្វ័យប្រវត្តិ,,ពណ៌ស,Phnom Penh,Saensokh,store,0,2026-08-12T05:17:51+00:00,2026-08-17T01:37:41.797536+00:00,,https://www.khmer24.com/post-adid-13877947
13364597,Toyota Alphard 2015,40000.0,2015,បានប្រើ,ក្រដាសពន្ធ,Toyota,Alphard,,ហាយប្រីត/Hybrid,ស្វ័យប្រវត្តិ,,ពណ៌ស,Phnom Penh,Tuol Kouk,store,0,2026-04-02T05:04:12+00:00,2026-08-17T01:37:58.001334+00:00,,https://www.khmer24.com/post-adid-13364597
13543908,Starex 2012,11700.0,2012,បានប្រើ,ផ្លាកលេខ,Hyundai,Starex,,សាំង,ស្វ័យប្រវត្តិ,,ពណ៍ខ្មៅ,Phnom Penh,Dangkao,store,0,2026-05-20T08:04:25+00:00,2026-08-13T09:41:43.708442+00:00,,https://www.khmer24.com/post-adid-13543908
13887543,Alphard 2014 option Type Gold,20800.0,2014,បានប្រើ,ផ្លាកលេខ,Toyota,Alphard,,សាំង,ស្វ័យប្រវត្តិ,,ពណ៌ស,Phnom Penh,Dangkao,individual,0,2026-08-14T13:28:47+00:00,2026-08-17T01:37:44.691114+00:00,,https://www.khmer24.com/post-adid-13887543
13894884,Morning 05full 4200$ចរចារ,4200.0,2005,បានប្រើ,ក្រដាសពន្ធ,Kia,Morning,,,,,ពណ៌បៃតង,Phnom Penh,Chamkar Mon,store,0,2026-08-17T01:19:59+00:00,2026-08-17T01:37:48.567982+00:00,,https://www.khmer24.com/post-adid-13894884
13858354,Toyota Veloz 2025,25900.0,2025,បានប្រើ,ផ្លាកលេខ,Toyota,Veloz,,សាំង,ស្វ័យប្រវត្តិ,,ពណ៌ស,Phnom Penh,Mean Chey,store,0,2026-08-07T02:31:30+00:00,2026-08-13T09:41:51.892378+00:00,,https://www.khmer24.com/post-adid-13858354
13454390,FORTUNER Legender 2023,49500.0,2023,បានប្រើ,ផ្លាកលេខ,Toyota,Fortuner,,ម៉ាស៊ូត,ស្វ័យប្រវត្តិ,,ពណ៌ស,Phnom Penh,Mean Chey,store,0,2026-04-28T14:40:05+00:00,2026-08-17T01:37:58.003352+00:00,,https://www.khmer24.com/post-adid-13454390
13884433,Prius 2008 Full Option,12000.0,2008,បានប្រើ,ក្រដាសពន្ធ,Toyota,Prius,,ហាយប្រីត/Hybrid,ស្វ័យប្រវត្តិ,,ពណ៌ប្រាក់,Phnom Penh,Saensokh,individual,0,2026-08-14T02:14:49+00:00,2026-08-16T15:21:22.267661+00:00,,https://www.khmer24.com/post-adid-13884433
13721027,ក្រដាសពន្ធ,18499.0,2012,បានប្រើ,ក្រដាសពន្ធ,Toyota,Prius,,ហាយប្រីត/Hybrid,ស្វ័យប្រវត្តិ,,ពណ៌ស,Phnom Penh,Chamkar Mon,store,0,2026-07-02T07:22:40+00:00,2026-08-16T15:21:18.895298+00:00,,https://www.khmer24.com/post-adid-13721027
13630706,ម្ចាស់ដើម,21500.0,2015,បានប្រើ,ផ្លាកលេខ,Mercedes-Benz,C300,,សាំង,ស្វ័យប្រវត្តិ,,ពណ៌ស,Phnom Penh,Mean Chey,store,0,2026-06-10T06:24:46+00:00,2026-08-13T09:41:42.809919+00:00,,https://www.khmer24.com/post-adid-13630706
13474616,TOYOTA PRIUS ✨ 2013..Option.3..🚖(ស)💕💕,18700.0,2013,បានប្រើ,ក្រដាសពន្ធ,Toyota,Prius,,សាំង,ស្វ័យប្រវត្តិ,,ពណ៌ស,Phnom Penh,Saensokh,store,0,2026-05-04T03:41:09+00:00,2026-08-13T09:41:41.870789+00:00,,https://www.khmer24.com/post-adid-13474616
13882798,ឡាន​លក់​នៅ​សៀមរាប​023 ម្ចាស់ដេីម​,32800.0,2023,បានប្រើ,ផ្លាកលេខ,Mitsubishi,Triton,,ម៉ាស៊ូត,ស្វ័យប្រវត្តិ,,ពណ៌ស,Siem Reap,Siem Reap,store,0,2026-08-13T08:46:30+00:00,2026-08-13T09:41:50.972398+00:00,,https://www.khmer24.com/post-adid-13882798
13489935,Lexus Rx350 Luxury (full options  )2016,42800.0,2016,បានប្រើ,ផ្លាកលេខ,Lexus,RX350,,សាំង,ស្វ័យប្រវត្តិ,,ពណ៌មាស,Phnom Penh,Chrouy Changva,store,0,2026-05-07T15:55:48+00:00,2026-08-17T01:37:44.691114+00:00,,https://www.khmer24.com/post-adid-13489935
13564826,Highlander,13800.0,2002,បានប្រើ,ផ្លាកលេខ,Toyota,Highlander,,សាំង,ស្វ័យប្រវត្តិ,,ពណ៌ប្រាក់,Phnom Penh,Chrouy Changva,store,0,2026-05-25T08:21:08+00:00,2026-08-17T01:37:57.072502+00:00,,https://www.khmer24.com/post-adid-13564826
